Iteration	Mat32.variance	Mat32.lengthscale	Gaussian_noise.variance
1.0	2.25066883351	5.14255011373	0.000288822293743
2.0	2.25066883351	5.14255011373	0.000288822293743
3.0	2.25066883351	5.14255011373	0.000288822293743
4.0	2.25066883351	5.14255011373	0.000288822293743
5.0	2.25066883351	5.14255011373	0.000288822293743
6.0	2.25066883351	5.14255011373	0.000288822293743
7.0	2.25066883351	5.14255011373	0.000288822293743
8.0	122.216715915	48.5536098758	0.000473693479714
9.0	173.733131225	56.4671398098	0.0004677761868
10.0	214.402280788	61.0855751786	0.000500578660236
11.0	296.043185754	69.8652365921	0.000509429473115
12.0	352.0779654	74.1891984226	0.000499861195687
13.0	432.367925103	80.178068846	0.000476599072847
14.0	537.030732573	87.1552941568	0.000536143196142
15.0	634.997208736	92.4759311735	0.000508190484004
16.0	801.367845045	101.398210167	0.000576791239405
17.0	923.229138056	106.35836803	0.000546738389016
18.0	923.229138056	106.35836803	0.000546738389016
19.0	923.229138056	106.35836803	0.000546738389016
20.0	923.229138056	106.35836803	0.000546738389016
21.0	923.229138056	106.35836803	0.000546738389016
22.0	923.229138056	106.35836803	0.000546738389016
23.0	923.229138056	106.35836803	0.000546738389016
24.0	923.229138056	106.35836803	0.000546738389016
25.0	923.229138056	106.35836803	0.000546738389016
26.0	923.229138056	106.35836803	0.000546738389016
