Iteration	Mat32.variance	Mat32.lengthscale	Gaussian_noise.variance
1.0	0.821858783933	3.50946946225	9.37066598762e-09
2.0	0.821858783933	3.50946946225	9.37066598762e-09
3.0	0.821858783933	3.50946946225	9.37066598762e-09
4.0	0.821858783933	3.50946946225	9.37066598762e-09
5.0	0.821858783933	3.50946946225	9.37066598762e-09
6.0	0.821858783933	3.50946946225	9.37066598762e-09
7.0	0.821858783933	3.50946946225	9.37066598762e-09
8.0	0.821858783933	3.50946946225	9.37066598762e-09
9.0	0.821858783933	3.50946946225	9.37066598762e-09
10.0	0.821858783933	3.50946946225	9.37066598762e-09
11.0	0.821858783933	3.50946946225	9.37066598762e-09
12.0	0.821858783933	3.50946946225	9.37066598762e-09
13.0	0.821858783933	3.50946946225	9.37066598762e-09
14.0	0.821858783933	3.50946946225	9.37066598762e-09
15.0	0.821858783933	3.50946946225	9.37066598762e-09
16.0	0.821858783933	3.50946946225	9.37066598762e-09
17.0	0.821858783933	3.50946946225	9.37066598762e-09
18.0	0.821858783933	3.50946946225	9.37066598762e-09
19.0	0.821858783933	3.50946946225	9.37066598762e-09
20.0	0.821858783933	3.50946946225	9.37066598762e-09
21.0	0.821858783933	3.50946946225	9.37066598762e-09
22.0	0.821858783933	3.50946946225	9.37066598762e-09
23.0	0.821858783933	3.50946946225	9.37066598762e-09
24.0	0.821858783933	3.50946946225	9.37066598762e-09
25.0	0.821858783933	3.50946946225	9.37066598762e-09
26.0	0.821858783933	3.50946946225	9.37066598762e-09
27.0	0.821858783933	3.50946946225	9.37066598762e-09
28.0	0.821858783933	3.50946946225	9.37066598762e-09
29.0	0.821858783933	3.50946946225	9.37066598762e-09
30.0	0.821858783933	3.50946946225	9.37066598762e-09
31.0	0.821858783933	3.50946946225	9.37066598762e-09
32.0	0.821858783933	3.50946946225	9.37066598762e-09
33.0	0.821858783933	3.50946946225	9.37066598762e-09
34.0	0.821858783933	3.50946946225	9.37066598762e-09
35.0	0.821858783933	3.50946946225	9.37066598762e-09
36.0	0.821858783933	3.50946946225	9.37066598762e-09
