Iteration	Mat32.variance	Mat32.lengthscale	Gaussian_noise.variance
1.0	1.02935096341	1.10637016011	2.67760770508e-08
2.0	1.02935096341	1.10637016011	2.67760770508e-08
3.0	1.02935096341	1.10637016011	2.67760770508e-08
4.0	1.02935096341	1.10637016011	2.67760770508e-08
5.0	1.02935096341	1.10637016011	2.67760770508e-08
6.0	1.02935096341	1.10637016011	2.67760770508e-08
7.0	1.02935096341	1.10637016011	2.67760770508e-08
8.0	1.02935096341	1.10637016011	2.67760770508e-08
9.0	1.02935096341	1.10637016011	2.67760770508e-08
10.0	1.02935096341	1.10637016011	2.67760770508e-08
11.0	1.02935096341	1.10637016011	2.67760770508e-08
12.0	1.02935096341	1.10637016011	2.67760770508e-08
13.0	1.02935096341	1.10637016011	2.67760770508e-08
14.0	1.02935096341	1.10637016011	2.67760770508e-08
15.0	1.02935096341	1.10637016011	2.67760770508e-08
16.0	1.02935096341	1.10637016011	2.67760770508e-08
17.0	1.02935096341	1.10637016011	2.67760770508e-08
18.0	1.02935096341	1.10637016011	2.67760770508e-08
19.0	1.02935096341	1.10637016011	2.67760770508e-08
20.0	1.02935096341	1.10637016011	2.67760770508e-08
21.0	1.02935096341	1.10637016011	2.67760770508e-08
22.0	1.02935096341	1.10637016011	2.67760770508e-08
23.0	1.02935096341	1.10637016011	2.67760770508e-08
24.0	1.02935096341	1.10637016011	2.67760770508e-08
25.0	1.02935096341	1.10637016011	2.67760770508e-08
26.0	1.02935096341	1.10637016011	2.67760770508e-08
27.0	1.02935096341	1.10637016011	2.67760770508e-08
28.0	1.02935096341	1.10637016011	2.67760770508e-08
29.0	1.02935096341	1.10637016011	2.67760770508e-08
30.0	1.02935096341	1.10637016011	2.67760770508e-08
31.0	1.02935096341	1.10637016011	2.67760770508e-08
32.0	1.02935096341	1.10637016011	2.67760770508e-08
33.0	1.02935096341	1.10637016011	2.67760770508e-08
34.0	1.02935096341	1.10637016011	2.67760770508e-08
35.0	1.02935096341	1.10637016011	2.67760770508e-08
36.0	1.02935096341	1.10637016011	2.67760770508e-08
37.0	1.02935096341	1.10637016011	2.67760770508e-08
38.0	1.02935096341	1.10637016011	2.67760770508e-08
39.0	1.02935096341	1.10637016011	2.67760770508e-08
40.0	1.02935096341	1.10637016011	2.67760770508e-08
41.0	1.02935096341	1.10637016011	2.67760770508e-08
42.0	1.02935096341	1.10637016011	2.67760770508e-08
43.0	1.02935096341	1.10637016011	2.67760770508e-08
44.0	1.02935096341	1.10637016011	2.67760770508e-08
45.0	1.02935096341	1.10637016011	2.67760770508e-08
46.0	1.02935096341	1.10637016011	2.67760770508e-08
47.0	1.02935096341	1.10637016011	2.67760770508e-08
48.0	1.02935096341	1.10637016011	2.67760770508e-08
49.0	1.02935096341	1.10637016011	2.67760770508e-08
50.0	1.02935096341	1.10637016011	2.67760770508e-08
51.0	1.02935096341	1.10637016011	2.67760770508e-08
52.0	1.02935096341	1.10637016011	2.67760770508e-08
53.0	1.02935096341	1.10637016011	2.67760770508e-08
54.0	1.02935096341	1.10637016011	2.67760770508e-08
55.0	1.02935096341	1.10637016011	2.67760770508e-08
56.0	1.02935096341	1.10637016011	2.67760770508e-08
57.0	1.02935096341	1.10637016011	2.67760770508e-08
58.0	1.02935096341	1.10637016011	2.67760770508e-08
59.0	1.02935096341	1.10637016011	2.67760770508e-08
60.0	1.02935096341	1.10637016011	2.67760770508e-08
61.0	1.02935096341	1.10637016011	2.67760770508e-08
62.0	1.02935096341	1.10637016011	2.67760770508e-08
63.0	1.02935096341	1.10637016011	2.67760770508e-08
64.0	1.02935096341	1.10637016011	2.67760770508e-08
65.0	1.02935096341	1.10637016011	2.67760770508e-08
66.0	1.02935096341	1.10637016011	2.67760770508e-08
67.0	1.02935096341	1.10637016011	2.67760770508e-08
68.0	1.02935096341	1.10637016011	2.67760770508e-08
69.0	1.02935096341	1.10637016011	2.67760770508e-08
70.0	1.02935096341	1.10637016011	2.67760770508e-08
71.0	1.02935096341	1.10637016011	2.67760770508e-08
