Iteration	Y	var_1	var_2	var_3
1.0	11.2509510468	6.0	8.0	4.0
2.0	11.2497618902	5.0	10.0	3.0
3.0	11.250504534	5.0	10.0	10.0
4.0	11.241261169	1.0	2.0	7.0
5.0	11.251955741	0.0	10.0	4.0
6.0	11.2528291989	0.0	1.0	7.0
7.0	11.2345296029	2.0	3.0	7.0
8.0	11.2497600916	3.0	4.0	7.0
9.0	11.2506243233	2.0	3.0	8.0
10.0	11.2354245826	2.0	3.0	6.0
11.0	11.2247622753	1.0	3.0	6.0
12.0	11.2519607899	0.0	4.0	6.0
13.0	11.2510009053	1.0	2.0	5.0
14.0	11.2942205765	8.0	10.0	1.0
15.0	11.251955741	0.0	10.0	10.0
16.0	11.2503038814	4.0	10.0	6.0
17.0	11.2512213758	8.0	9.0	10.0
18.0	11.2605861114	2.0	7.0	1.0
19.0	11.2503350942	8.0	10.0	7.0
20.0	11.2510243836	1.0	3.0	7.0
21.0	11.251955741	0.0	10.0	1.0
22.0	11.2515772003	5.0	6.0	10.0
23.0	11.2493067573	6.0	7.0	7.0
24.0	11.2528605507	0.0	1.0	1.0
25.0	11.2351881607	1.0	4.0	5.0
26.0	11.2519607899	0.0	4.0	1.0
27.0	11.2495936087	3.0	7.0	5.0
28.0	11.251955741	0.0	10.0	7.0
29.0	11.2088668452	4.0	5.0	3.0
30.0	11.262987159	4.0	5.0	2.0
31.0	11.2201661453	4.0	5.0	4.0
32.0	11.2184274906	3.0	5.0	3.0
33.0	11.2306621422	4.0	6.0	3.0
34.0	11.2171401793	3.0	4.0	4.0
35.0	11.2212055993	3.0	4.0	3.0
36.0	11.226602749	3.0	5.0	4.0
37.0	11.2528291989	0.0	1.0	10.0
38.0	11.2532128571	0.0	6.0	3.0
39.0	11.2512479285	0.0	7.0	10.0
40.0	11.2513841989	3.0	8.0	10.0
