Iteration	Y	var_1	var_2	var_3
1.0	11.2618690546	1.0	3.0	2.0
2.0	11.209401294	1.0	7.0	6.0
3.0	11.2002379623	0.0	4.0	1.0
4.0	11.2093187015	1.0	4.0	8.0
5.0	11.209428407	0.0	5.0	5.0
6.0	11.2082193347	0.0	5.0	1.0
7.0	11.2002382124	0.0	4.0	2.0
8.0	11.2082193347	0.0	5.0	2.0
9.0	11.2092819248	0.0	4.0	3.0
10.0	11.2710438225	1.0	4.0	1.0
11.0	11.2082195848	0.0	5.0	3.0
12.0	11.2082193347	0.0	5.0	4.0
13.0	11.2212089129	0.0	4.0	4.0
14.0	11.2093011854	0.0	3.0	1.0
15.0	11.2233858131	1.0	5.0	3.0
16.0	11.2104899982	0.0	6.0	2.0
17.0	11.2104897481	0.0	6.0	3.0
18.0	11.2104899982	0.0	6.0	4.0
19.0	11.2104899982	0.0	6.0	1.0
20.0	11.2104897481	0.0	6.0	5.0
21.0	11.2093532469	1.0	5.0	5.0
22.0	11.2474656438	1.0	6.0	5.0
23.0	11.2212353437	1.0	5.0	4.0
24.0	11.2082195848	0.0	5.0	6.0
25.0	11.2093532469	1.0	5.0	6.0
26.0	11.2104897481	0.0	6.0	6.0
27.0	11.209401294	0.0	7.0	6.0
28.0	11.209401294	0.0	7.0	5.0
29.0	11.209401294	0.0	7.0	4.0
30.0	11.209401294	0.0	7.0	3.0
31.0	11.2094015441	0.0	7.0	2.0
32.0	11.209401294	0.0	7.0	1.0
33.0	11.2002379623	0.0	4.0	6.0
34.0	11.2173112026	1.0	4.0	6.0
35.0	11.2002382124	0.0	4.0	7.0
36.0	11.2082193347	0.0	5.0	7.0
37.0	11.2002379623	0.0	4.0	8.0
38.0	11.2082193347	0.0	5.0	8.0
39.0	11.2093186395	1.0	4.0	7.0
40.0	11.2212179593	0.0	3.0	7.0
