Iteration	Y	var_1	var_2	var_3
1.0	11.2360953613	0.0	5.0	8.0
2.0	11.237602266	1.0	6.0	8.0
3.0	11.2446253874	4.0	9.0	7.0
4.0	11.2473953421	0.0	1.0	4.0
5.0	11.2344921786	3.0	10.0	7.0
6.0	11.2356405682	0.0	6.0	8.0
7.0	11.2352255789	1.0	5.0	8.0
8.0	11.2370825071	2.0	10.0	7.0
9.0	11.2373980064	3.0	10.0	8.0
10.0	11.2370823822	3.0	10.0	6.0
11.0	11.2393801404	1.0	5.0	9.0
12.0	11.2162534629	1.0	5.0	7.0
13.0	11.2368317527	0.0	5.0	7.0
14.0	11.2075676745	2.0	5.0	7.0
15.0	11.2105414393	2.0	5.0	6.0
16.0	11.2105359885	1.0	5.0	6.0
17.0	11.2092952509	2.0	4.0	7.0
18.0	11.2218450482	2.0	4.0	6.0
19.0	11.2091384075	1.0	4.0	7.0
20.0	11.2218000417	1.0	4.0	6.0
21.0	11.1998144389	3.0	5.0	7.0
22.0	11.2002231198	3.0	4.0	7.0
23.0	11.1948433132	3.0	5.0	6.0
24.0	11.203561961	3.0	4.0	6.0
25.0	11.1839050684	4.0	5.0	6.0
26.0	11.1842909415	4.0	5.0	7.0
27.0	11.2394034032	4.0	6.0	6.0
28.0	11.1950483954	4.0	5.0	5.0
29.0	11.2036558293	3.0	5.0	5.0
30.0	11.2395948837	4.0	5.0	8.0
31.0	11.2055993241	3.0	4.0	5.0
32.0	11.21354123	2.0	5.0	5.0
33.0	11.1982929257	4.0	5.0	4.0
34.0	11.2056238563	3.0	5.0	4.0
35.0	11.2082018712	3.0	4.0	4.0
36.0	11.1956107936	4.0	6.0	4.0
37.0	11.2025136105	3.0	6.0	4.0
38.0	11.1927731955	3.0	6.0	5.0
39.0	11.1858654537	4.0	6.0	5.0
40.0	11.1899377761	4.0	7.0	5.0
