Iteration	Mat32.variance	Mat32.lengthscale	Gaussian_noise.variance
1.0	1.82766974703	5.03680322097	7.08707365149e-09
2.0	1.82766974703	5.03680322097	7.08707365149e-09
3.0	1.82766974703	5.03680322097	7.08707365149e-09
4.0	1.82766974703	5.03680322097	7.08707365149e-09
5.0	5.63569584023	13.0089125918	4.17937385939e-10
6.0	5.63569584023	13.0089125918	4.17937385939e-10
7.0	5.63569584023	13.0089125918	4.17937385939e-10
8.0	5.63569584023	13.0089125918	4.17937385939e-10
9.0	5.63569584023	13.0089125918	4.17937385939e-10
10.0	5.63569584023	13.0089125918	4.17937385939e-10
11.0	5.63569584023	13.0089125918	4.17937385939e-10
12.0	5.63569584023	13.0089125918	4.17937385939e-10
13.0	5.63569584023	13.0089125918	4.17937385939e-10
14.0	5.63569584023	13.0089125918	4.17937385939e-10
15.0	5.63569584023	13.0089125918	4.17937385939e-10
16.0	5.63569584023	13.0089125918	4.17937385939e-10
17.0	5.63569584023	13.0089125918	4.17937385939e-10
18.0	5.63569584023	13.0089125918	4.17937385939e-10
19.0	5.63569584023	13.0089125918	4.17937385939e-10
20.0	5.63569584023	13.0089125918	4.17937385939e-10
21.0	5.63569584023	13.0089125918	4.17937385939e-10
22.0	5.63569584023	13.0089125918	4.17937385939e-10
23.0	5.63569584023	13.0089125918	4.17937385939e-10
24.0	5.63569584023	13.0089125918	4.17937385939e-10
25.0	5.63569584023	13.0089125918	4.17937385939e-10
26.0	5.63569584023	13.0089125918	4.17937385939e-10
