10	5194.8
15	5014.8
19	4983.6
27	4981.8
35	4940.9
44	4736.1
51	4574.8
53	4546.8
62	4485.6
70	4484.7
71	4441.8
74	4337
79	4336.1
80	4149.5
84	4079.6
92	4054.2
98	4028.2
106	4026.9
114	3894.6
116	3888.3
120	3887.8
123	3823.7
130	3822.9
131	3821.6
135	3808.1
136	3782.2
140	3781.6
144	3766.7
147	3760.6
151	3725.2
151	3710.1
159	3709.8
164	3705.9
168	3705.5
172	3676.7
175	3667.9
178	3654
187	3651.4
191	3649.6
194	3601.4
198	3582.5
202	3572.5
203	3570.1
208	3563.4
215	3563.2
219	3561.2
223	3560.9
229	3536.2
234	3536
238	3535.1
240	3531.7
244	3531.3
247	3529.3
249	3525.5
251	3505.6
253	3500.2
258	3500.1
260	3489.2
267	3476.3
272	3474.2
277	3451
281	3450.6
282	3437.3
288	3437.2
289	3433.1
293	3423.7
297	3423
298	3409.1
304	3405.5
307	3390.1
315	3389.8
322	3389.8
322	3388.8
326	3388.6
330	3373.8
334	3373.7
337	3371
344	3370.9
345	3356.4
352	3356.2
358	3356.1
362	3356
366	3355.8
370	3355.7
373	3353.1
378	3350.1
382	3349.5
391	3349.1
393	3347.8
395	3341
400	3339.8
406	3338.4
411	3331.8
416	3325.8
421	3325.7
429	3325.6
